Time,CO2,TEMP,HUM
2022-04-12,457.93865100416826,19.63627320954907,21.592317165593027
2022-04-13,461.1257183908046,17.75654248768473,28.92205459770115
2022-04-14,471.3185036945813,20.507312192118224,34.36468596059113
2022-04-15,466.8474122726996,18.084579114212733,34.35287622392507
2022-04-16,482.0677777017576,21.8625260369154,22.545973210484703
2022-04-17,500.22957717569784,23.433348347321047,21.67587746305419
2022-04-18,481.29910902587477,22.651670647710045,21.82031209307374
2022-04-19,482.04840205558594,22.31977323177036,21.623747567353888
2022-04-20,478.42045057167184,22.798901888341543,23.684229231283826
2022-04-21,476.2598522167488,22.260673234811165,24.897347085385878
2022-04-22,482.7419304567293,21.630711967098463,26.89626379766466
2022-04-23,472.7334218968558,21.835040936872833,27.694358921729613
2022-04-24,472.5815620628839,20.676343086723836,26.451624551480872
2022-04-25,470.21420019157085,21.914116189259868,21.999274007176307
2022-04-26,473.6397327130085,22.57742371373837,21.5609757951712
2022-04-27,472.20084154351395,22.036444079547525,26.902050834701697
2022-04-28,480.40131819011134,22.612551693729856,23.62093387003588
2022-04-29,495.44797558231465,23.111846606458673,24.004864341969228
2022-04-30,491.2062294745485,23.05439624764337,25.77678381378094
2022-05-01,475.2097397068662,24.000590106732346,24.450743667518093
2022-05-02,478.90361399987836,23.319629743659917,23.991509494921853
2022-05-03,468.6779518640151,19.718765204038192,32.54186051815362
2022-05-04,468.3981424466338,20.338823891625616,32.37476908866995
2022-05-05,481.57876642036126,22.284867610837438,30.717107963875208
2022-05-06,495.3229375722192,22.584290237487078,31.16857572371222
2022-05-07,489.65152914614123,20.75359195402299,34.87884852216749
2022-05-08,476.33785083318134,22.68060211792252,26.741666286565714
2022-05-09,465.43283045977006,20.215055418719214,30.861222290640395
2022-05-10,480.39733297779276,20.846391774732293,37.34620303998896
2022-05-11,482.1378246062154,21.089733283160008,41.28044608648057
2022-05-12,468.3799261083744,20.032507183908045,36.10678366174056
2022-05-13,471.7622658578118,19.448782346591255,38.89324959709299
2022-05-14,464.2187937116098,19.99485438332421,35.941962385209514
2022-05-15,473.7474699809681,20.62665979578294,33.52496759751155
2022-05-16,477.644246411847,22.654297231344643,31.01466999635103
2022-05-17,465.64620173887414,20.583132976272342,30.78144567889539
2022-05-18,469.96284133065745,18.040291651462628,35.12393476707414
2022-05-19,489.5887725779967,22.298183497536943,43.858810550082104
2022-05-20,499.9026618469866,21.889624384236456,42.64542377455452
2022-05-21,465.5860187465791,20.861618545885786,38.64648615672323
2022-05-22,465.4302647783251,21.464952791461414,35.77737582101806
2022-05-23,470.33097290640393,21.870019727239555,35.79943022866873
2022-05-24,479.92277298850576,19.78666358784893,45.327303981937604
2022-05-25,502.6323124114072,22.927447937864603,35.19968055438601
2022-05-26,470.67960340266376,22.188966239433196,33.696465631271664
2022-05-27,470.83979695006997,21.52901405613331,31.461913884327675
2022-05-28,463.8579030590525,21.310374285410205,32.0247569254394
2022-05-29,472.09939449917897,23.123101395730703,33.002052545156
2022-05-30,470.39922003284073,20.921464490968802,39.89390907224959
2022-05-31,484.05352011494256,21.524014778325125,39.90170874384236
