Time,CO2,TEMP,HUM
2022-04-12,457.5342857142857,19.17142857142857,22.11285714285714
2022-04-13,461.13235294117646,17.75735294117647,28.921323529411765
2022-04-14,471.325,20.508823529411764,34.35955882352941
2022-04-15,466.8306332842415,18.08173784977909,34.35493372606775
2022-04-16,482.02507374631267,21.858407079646017,22.54498525073746
2022-04-17,500.3019145802651,23.440353460972016,21.672312223858615
2022-04-18,481.72121212121215,22.687878787878788,21.842424242424244
2022-04-19,482.0088495575221,22.321533923303836,21.627581120943955
2022-04-20,478.437223042836,22.80576070901034,23.672082717872968
2022-04-21,476.17894736842106,22.279699248120302,24.893233082706768
2022-04-22,482.68436578171094,21.628318584070797,26.899705014749262
2022-04-23,472.7577548005908,21.823485967503693,27.710487444608567
2022-04-24,472.55391432791725,20.671344165435745,26.449778434268833
2022-04-25,470.2466765140325,21.90768094534712,22.01255539143279
2022-04-26,473.64454277286137,22.56268436578171,21.579646017699115
2022-04-27,472.23122238586154,22.040500736377027,26.890279823269513
2022-04-28,480.3917525773196,22.60235640648012,23.628129602356406
2022-04-29,495.4985250737463,23.097345132743364,24.015486725663717
2022-04-30,491.2120765832106,23.05817378497791,25.771723122238587
2022-05-01,475.2223858615611,24.006627393225333,24.441089837997055
2022-05-02,478.9156804733728,23.318047337278106,23.99778106508876
2022-05-03,468.4977843426883,19.71861152141802,32.539881831610046
2022-05-04,468.3637702503682,20.337260677466862,32.37702503681885
2022-05-05,481.58676470588233,22.2875,30.711764705882352
2022-05-06,495.3952802359882,22.571533923303836,31.19174041297935
2022-05-07,489.63235294117646,20.753676470588236,34.87867647058823
2022-05-08,476.3234859675037,22.66469719350074,26.75923190546529
2022-05-09,465.4273127753304,20.207782672540382,30.867107195301028
2022-05-10,480.34814814814814,20.842222222222222,37.35037037037037
2022-05-11,482.2094395280236,21.093657817109143,41.27728613569322
2022-05-12,468.33284241531663,20.035346097201767,36.10751104565538
2022-05-13,471.779086892489,19.45139911634757,38.882916053019144
2022-05-14,464.2555391432792,19.990398818316102,35.94830132939439
2022-05-15,474.0105580693816,20.536199095022624,33.6500754147813
2022-05-16,477.6533923303835,22.661504424778762,31.0
2022-05-17,465.68491124260356,20.581360946745562,30.79215976331361
2022-05-18,469.960235640648,18.042709867452135,35.117083946980856
2022-05-19,489.55,22.29558823529412,43.855147058823526
2022-05-20,499.8735294117647,21.89044117647059,42.633823529411764
2022-05-21,465.6032448377581,20.863569321533923,38.647492625368734
2022-05-22,465.43823529411765,21.466176470588234,35.77647058823529
2022-05-23,470.33284241531663,21.863033873343152,35.81590574374079
2022-05-24,479.8895434462445,19.782032400589102,45.325478645066276
2022-05-25,502.5739644970414,22.90828402366864,35.23002958579882
2022-05-26,470.7029411764706,22.18161764705882,33.70882352941177
2022-05-27,470.79970544918996,21.5279823269514,31.463917525773194
2022-05-28,463.8333333333333,21.31268436578171,32.02654867256637
2022-05-29,472.1205882352941,23.125735294117646,32.99632352941177
2022-05-30,470.40441176470586,20.922794117647058,39.8875
2022-05-31,484.1057268722467,21.524229074889867,39.90088105726872
2022-06-01,485.6607669616519,23.712389380530972,34.573008849557525
2022-06-02,461.28970588235296,21.90735294117647,37.542647058823526
2022-06-03,483.165191740413,21.585545722713864,38.46828908554572
2022-06-04,468.84194977843424,22.877400295420976,36.967503692762186
2022-06-05,468.4306784660767,23.52654867256637,34.70280235988201
2022-06-06,462.15615615615616,20.30855855855856,48.22597597597598
2022-06-07,467.89101620029453,20.83357879234168,47.421944035346094
2022-06-08,467.9499263622975,22.378497790868924,40.62150220913107
2022-06-09,474.2238586156112,22.435935198821795,46.02945508100147
2022-06-10,482.03402366863907,22.281065088757398,42.19748520710059
2022-06-11,473.165191740413,23.358407079646017,42.10545722713864
2022-06-12,467.06480117820325,23.62297496318115,38.5
2022-06-13,477.20088626292466,22.882570162481535,35.087887740029544
2022-06-14,465.04558823529413,21.61470588235294,38.31838235294118
2022-06-15,482.0846560846561,22.606701940035272,36.470017636684304
2022-06-16,482.4859259259259,23.483703703703704,36.46888888888889
2022-06-17,473.7370753323486,24.522895125553916,37.032496307237814
2022-06-18,484.9719764011799,22.61135693215339,43.32227138643068
2022-06-19,481.3961708394698,21.318114874815905,41.30706921944035
2022-06-20,488.6873156342183,22.309734513274336,38.77728613569322
2022-06-21,473.3436123348018,23.835535976505138,36.53010279001469
2022-06-22,475.47128129602356,23.094256259204712,40.48453608247423
2022-06-23,472.2636229749632,24.648748159057437,38.81369661266569
2022-06-24,466.1533923303835,24.607669616519175,42.097345132743364
2022-06-25,464.38823529411764,24.386029411764707,47.252941176470586
2022-06-26,488.3637702503682,24.013254786450663,52.08836524300442
2022-06-27,495.4359351988218,24.563328424153166,51.995581737849776
2022-06-28,504.83505154639175,23.363770250368187,46.5559646539028
2022-06-29,506.53834808259586,24.98377581120944,37.73082595870206
2022-06-30,498.60178306092126,25.207280832095098,39.393759286775634
2022-07-01,492.48372781065086,23.16937869822485,52.453402366863905
2022-07-02,487.25,23.99705882352941,41.90661764705882
2022-07-03,483.2691176470588,22.88529411764706,46.58529411764706
2022-07-04,485.7592319054653,23.757754800590842,42.78655834564254
2022-07-05,481.93925925925925,23.10074074074074,39.33851851851852
2022-07-06,477.55162241887905,22.646017699115045,35.93952802359882
2022-07-07,475.45588235294116,21.388235294117646,49.03602941176471
2022-07-08,483.95139911634755,20.935935198821795,46.39101620029455
2022-07-09,480.1516936671576,21.976435935198822,39.75110456553755
2022-07-10,476.05612998522895,22.27400295420975,36.64549483013294
